Datetime,AEP_MW,Year,Month,Day,Hour,Weekday,WeekOfYear,DayOfYear,IsWeekend,AEP_MW_lag1,AEP_MW_lag24,AEP_MW_lag168,AEP_MW_rolling_mean_24,AEP_MW_rolling_mean_168
2004-12-24 01:00:00,15645.0,2004,12,24,1,4,52,359,0,15676.0,16669.0,13478.0,16270.625,16351.315476190477
2004-12-24 02:00:00,15265.0,2004,12,24,2,4,52,359,0,15645.0,16218.0,12865.0,16230.916666666666,16365.60119047619
2004-12-24 03:00:00,15138.0,2004,12,24,3,4,52,359,0,15265.0,16135.0,12577.0,16189.375,16380.845238095239
2004-12-24 04:00:00,15068.0,2004,12,24,4,4,52,359,0,15138.0,16107.0,12517.0,16146.083333333334,16396.029761904763
2004-12-24 05:00:00,15122.0,2004,12,24,5,4,52,359,0,15068.0,16229.0,12670.0,16099.958333333334,16410.625
2004-12-24 06:00:00,15441.0,2004,12,24,6,4,52,359,0,15122.0,16470.0,13038.0,16057.083333333334,16424.928571428572
2004-12-24 07:00:00,15967.0,2004,12,24,7,4,52,359,0,15441.0,16935.0,13692.0,16016.75,16438.470238095237
2004-12-24 08:00:00,16628.0,2004,12,24,8,4,52,359,0,15967.0,17548.0,14297.0,15978.416666666666,16452.345238095237
2004-12-24 09:00:00,17122.0,2004,12,24,9,4,52,359,0,16628.0,17927.0,14719.0,15944.875,16466.64880952381
2004-12-24 10:00:00,17621.0,2004,12,24,10,4,52,359,0,17122.0,17837.0,14941.0,15935.875,16482.60119047619
2004-12-24 11:00:00,17501.0,2004,12,24,11,4,52,359,0,17621.0,17453.0,15184.0,15937.875,16496.39285714286
2004-12-24 12:00:00,17122.0,2004,12,24,12,4,52,359,0,17501.0,16891.0,15009.0,15947.5,16508.970238095237
2004-12-24 13:00:00,16600.0,2004,12,24,13,4,52,359,0,17122.0,15967.0,14808.0,15973.875,16519.636904761905
2004-12-24 14:00:00,16206.0,2004,12,24,14,4,52,359,0,16600.0,15088.0,14522.0,16020.458333333334,16529.660714285714
2004-12-24 15:00:00,15844.0,2004,12,24,15,4,52,359,0,16206.0,14564.0,14349.0,16073.791666666666,16538.559523809523
2004-12-24 16:00:00,15762.0,2004,12,24,16,4,52,359,0,15844.0,14394.0,14107.0,16130.791666666666,16548.410714285714
2004-12-24 17:00:00,16092.0,2004,12,24,17,4,52,359,0,15762.0,14745.0,14410.0,16186.916666666666,16558.42261904762
2004-12-24 18:00:00,17048.0,2004,12,24,18,4,52,359,0,16092.0,15856.0,15174.0,16236.583333333334,16569.57738095238
2004-12-24 19:00:00,17456.0,2004,12,24,19,4,52,359,0,17048.0,16502.0,15261.0,16276.333333333334,16582.64285714286
2004-12-24 20:00:00,17407.0,2004,12,24,20,4,52,359,0,17456.0,16678.0,14774.0,16306.708333333334,16598.315476190477
2004-12-24 21:00:00,17474.0,2004,12,24,21,4,52,359,0,17407.0,16842.0,14363.0,16333.041666666666,16616.833333333332
2004-12-24 22:00:00,17772.0,2004,12,24,22,4,52,359,0,17474.0,16621.0,14045.0,16381.0,16639.01785714286
2004-12-24 23:00:00,17618.0,2004,12,24,23,4,52,359,0,17772.0,16167.0,13478.0,16441.458333333332,16663.660714285714
2004-12-25 00:00:00,17147.0,2004,12,25,0,5,52,360,1,17618.0,15676.0,12892.0,16502.75,16688.988095238095
2004-12-23 01:00:00,15358.0,2004,12,23,1,3,52,358,0,17147.0,15645.0,14097.0,16490.791666666668,16696.494047619046
2004-12-23 02:00:00,14851.0,2004,12,23,2,3,52,358,0,15358.0,15265.0,13667.0,16473.541666666668,16703.541666666668
2004-12-23 03:00:00,14441.0,2004,12,23,3,3,52,358,0,14851.0,15138.0,13451.0,16444.5,16709.434523809523
2004-12-23 04:00:00,14105.0,2004,12,23,4,3,52,358,0,14441.0,15068.0,13379.0,16404.375,16713.755952380954
2004-12-23 05:00:00,14048.0,2004,12,23,5,3,52,358,0,14105.0,15122.0,13506.0,16359.625,16716.98214285714
2004-12-23 06:00:00,14394.0,2004,12,23,6,3,52,358,0,14048.0,15441.0,14121.0,16316.0,16718.60714285714
2004-12-23 07:00:00,15034.0,2004,12,23,7,3,52,358,0,14394.0,15967.0,15066.0,16277.125,16718.416666666668
2004-12-23 08:00:00,15783.0,2004,12,23,8,3,52,358,0,15034.0,16628.0,15771.0,16241.916666666666,16718.488095238095
2004-12-23 09:00:00,16231.0,2004,12,23,9,3,52,358,0,15783.0,17122.0,16047.0,16204.791666666666,16719.583333333332
2004-12-23 10:00:00,16576.0,2004,12,23,10,3,52,358,0,16231.0,17621.0,16245.0,16161.25,16721.553571428572
2004-12-23 11:00:00,16912.0,2004,12,23,11,3,52,358,0,16576.0,17501.0,16377.0,16136.708333333334,16724.738095238095
2004-12-23 12:00:00,16991.0,2004,12,23,12,3,52,358,0,16912.0,17122.0,16138.0,16131.25,16729.815476190477
2004-12-23 13:00:00,16793.0,2004,12,23,13,3,52,358,0,16991.0,16600.0,15886.0,16139.291666666666,16735.214285714286
2004-12-23 14:00:00,16764.0,2004,12,23,14,3,52,358,0,16793.0,16206.0,15503.0,16162.541666666666,16742.720238095237
2004-12-23 15:00:00,16643.0,2004,12,23,15,3,52,358,0,16764.0,15844.0,15206.0,16195.833333333334,16751.27380952381
2004-12-23 16:00:00,16666.0,2004,12,23,16,3,52,358,0,16643.0,15762.0,15049.0,16233.5,16760.89880952381
2004-12-23 17:00:00,16869.0,2004,12,23,17,3,52,358,0,16666.0,16092.0,15161.0,16265.875,16771.065476190477
2004-12-23 18:00:00,17916.0,2004,12,23,18,3,52,358,0,16869.0,17048.0,16085.0,16302.041666666666,16781.964285714286
2004-12-23 19:00:00,18424.0,2004,12,23,19,3,52,358,0,17916.0,17456.0,16508.0,16342.375,16793.369047619046
2004-12-23 20:00:00,18343.0,2004,12,23,20,3,52,358,0,18424.0,17407.0,16306.0,16381.375,16805.494047619046
2004-12-23 21:00:00,18340.0,2004,12,23,21,3,52,358,0,18343.0,17474.0,16223.0,16417.458333333332,16818.095238095237
2004-12-23 22:00:00,18011.0,2004,12,23,22,3,52,358,0,18340.0,17772.0,15931.0,16427.416666666668,16830.47619047619
2004-12-23 23:00:00,17340.0,2004,12,23,23,3,52,358,0,18011.0,17618.0,15207.0,16415.833333333332,16843.17261904762
